Transaction,Vendor,Category,  Amount  
8001498547,REDACTED PERSONAL DATA,Social care,"£1,997.49"
8001498494,THE LIMES RESIDENTIAL CARE HOME,Temporary Accommodation,"£1,997.10"
8001496674,SPECIALITY CARE (REIT) HOMES LTD,Temporary Accommodation,"£1,993.61"
8001482851,FINEFAIR LTD,"Construction, Property and Fac Man","£1,992.99"
8001483001,FINEFAIR LTD,"Construction, Property and Fac Man","£1,992.99"
8001472280,SOUTHWARK PARK NURSING HOMES LTD,Temporary Accommodation,"£1,990.38"
8001477425,GCH PEREGRINE HOUSE LTD,Temporary Accommodation,"£1,989.64"
8001477229,GCH PEREGRINE HOUSE LTD,Temporary Accommodation,"£1,989.64"
8001477428,GCH PEREGRINE HOUSE LTD,Temporary Accommodation,"£1,989.64"
8001477412,GCH PEREGRINE HOUSE LTD,Temporary Accommodation,"£1,989.64"
8001477419,GCH PEREGRINE HOUSE LTD,Temporary Accommodation,"£1,989.64"
8001496703,SCIMITAR CARE HOTELS PLC,Temporary Accommodation,"£1,989.48"
8001482183,SEVACARE (UK) LTD,Social care,"£1,988.40"
8001492422,PRECIOUS HOMES LTD,Temporary Accommodation,"£1,986.21"
8001482280,SEVACARE (UK) LTD,Social care,"£1,986.12"
8001498504,TOGETHER WORKING FOR WELLBEING,Temporary Accommodation,"£1,985.16"
8001477339,JEWISH CARE,Temporary Accommodation,"£1,984.06"
8001496676,GREENFIELDS RES CARE HOMES LTD,Temporary Accommodation,"£1,981.13"
8001498538,QUANTUM CARE LIMITED,Temporary Accommodation,"£1,979.22"
200334717,APNA GHAR HOUSING ASSOCIATION,Social care,"£1,977.01"
8001478686,SPRINGDENE NURSING & CARE HOMES LTD,Temporary Accommodation,"£1,974.85"
8001493061,TWINGLOBE CARE HOMES LTD,Social care,"£1,972.02"
8001496735,AVON LODGE UK LTD,Temporary Accommodation,"£1,970.46"
8001479229,AVON LODGE UK LTD,Temporary Accommodation,"£1,967.30"
8001478710,NAZARETH HOUSE,Temporary Accommodation,"£1,967.30"
8001479513,BROWNLOW ENTERPRISES LTD,Temporary Accommodation,"£1,967.30"
8001479486,WATERFALL HSE LTD t/a AMBERLEY HOUS,Temporary Accommodation,"£1,967.30"
8001478762,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£1,967.30"
8001478759,ST THERESA'S REST HOME,Temporary Accommodation,"£1,967.30"
8001479438,ROSS WYLD CARE HOME,Temporary Accommodation,"£1,967.30"
8001478767,PARKSIDE RESIDENTIAL HOME,Temporary Accommodation,"£1,967.30"
8001478603,MAGICARE LTD,Temporary Accommodation,"£1,963.02"
